ProteinAccession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
TCCM_0240.00000040,8164900,5780500,11800000,14400000,24900000,29300000,12900000,4119100,8759500,7716800,31500000,28300000,24500000,22900000,12600000,7650200,9188000,14200000,12500000,16400000,16300000,18200000,31500000,34300000,22100000,26000000,14300000,20200000,25100000,8320900,5503600,19100000,17500000,14900000,28800000,14600000,168630
TCCM_0342.00000010,21300000,20900000,29100000,34600000,32000000,29900000,16800000,7114400,12500000,10200000,7806400,11100000,25000000,16900000,31700000,13000000,10800000,18100000,12300000,9354300,11000000,17500000,24300000,13400000,19600000,18400000,17900000,20000000,16900000,36500000,24700000,15300000,7511700,7015100,10400000,22100000,384550
TCCM_0649.00000040,12300000,2927700,5543300,8341800,39700000,55100000,25900000,7479900,14400000,9886300,52400000,78000000,40400000,49400000,14400000,16800000,16000000,26100000,13400000,49700000,27000000,35700000,46400000,58800000,58700000,39600000,37200000,78400000,83100000,16200000,24600000,27200000,32500000,32700000,8586100,8660300,1522700
TCCM_0040.00000020,8931500,9996900,14200000,15700000,13100000,13100000,9811700,3673900,5904500,5145400,15600000,18100000,16700000,10000000,12600000,5527200,6784900,11100000,9586700,8601000,7196600,13300000,13000000,11400000,19600000,13100000,13400000,21500000,19900000,7662000,8761200,12800000,10700000,16400000,3753000,8434200,0
TCCM_0486.00000180,11500000,10300000,14800000,11300000,19100000,16700000,13700000,5395700,4595000,6310400,22100000,20000000,20400000,19300000,11100000,9402900,6527800,9342100,17100000,7719400,9994000,20300000,21900000,16000000,12500000,21800000,15500000,14600000,20700000,8954400,6357600,16200000,10500000,15100000,6958100,9790700,877670
TCCM_0754.00000050,18000000,11900000,9371900,14600000,34600000,35600000,18300000,10100000,14600000,6115300,24600000,24100000,34800000,43900000,72100000,14100000,14900000,25400000,11000000,19400000,18200000,20100000,24000000,22700000,26600000,16200000,19100000,37300000,53000000,34700000,6635700,15900000,21300000,22900000,19100000,25500000,2661500
TCCM_0346.00000180,58800000,63600000,48300000,114000000,135000000,135000000,101000000,47800000,42900000,51100000,125000000,135000000,138000000,148000000,95400000,112000000,44000000,119000000,30300000,175000000,188000000,27000000,32800000,94700000,75900000,39400000,36800000,184000000,171000000,60300000,251000000,34000000,104000000,107000000,11800000,24600000,21800000
TCCM_0318.00000030,17300000,26900000,30100000,23800000,40200000,55900000,27000000,12300000,16400000,13400000,51600000,33200000,25100000,28800000,25300000,22000000,19700000,26200000,53200000,28600000,26300000,66600000,71000000,41800000,36300000,69200000,66700000,35700000,42300000,42400000,43700000,77600000,24100000,36900000,17200000,28300000,3803100
TCCM_0634.00000020,7223900,12500000,18200000,16400000,15200000,16500000,13900000,4087900,5334100,4506300,23300000,20500000,19300000,16300000,13200000,8729900,9155000,12000000,16500000,11900000,8876800,26700000,25400000,16500000,19300000,29400000,27600000,20500000,22300000,23900000,21900000,21600000,11300000,11800000,9762600,12800000,1894800
TCCM_0618.00000030,17300000,25400000,42100000,44100000,46800000,49000000,34800000,14600000,17900000,16500000,56700000,61900000,46300000,46000000,59700000,21400000,21500000,29400000,36000000,35000000,35800000,56900000,49700000,34200000,50600000,51400000,58600000,47500000,54700000,35300000,36000000,58600000,33100000,44300000,21100000,24700000,10700000
TCCM_0240.00000020,23300000,20200000,12300000,13200000,18100000,17600000,9517100,28100000,36000000,35700000,126000000,90000000,12300000,10300000,2870600,61400000,62200000,79900000,63900000,90000000,116000000,58400000,92100000,98200000,90100000,83600000,51100000,72000000,67900000,0,77400000,77300000,99900000,99300000,8502100,0,0
TCCM_0342.00000020,3310800,9485900,8903400,9853900,11900000,13700000,9582200,4842100,5021200,5319400,14100000,13200000,17800000,12000000,10000000,5547200,3975800,6456300,5700600,5471000,6227000,9630200,10200000,8482900,12200000,9277200,11200000,14800000,15200000,9050000,4718700,7441500,6640700,9958000,4666100,5363800,821920
TCCM_0924.00000010,8217800,12600000,23500000,26700000,27000000,15300000,14800000,8356500,7295900,6185700,27100000,35200000,32300000,16800000,27300000,12100000,12500000,11700000,29300000,27200000,34700000,19700000,26100000,22400000,21400000,15900000,22000000,36700000,36900000,39200000,31600000,19900000,52300000,31400000,10000000,21900000,1864600
TCCM_0822.00000130,17000000,24100000,35200000,67200000,12200000,3706600,7515400,692820,215330,1564400,18400000,8613600,31300000,37300000,40800000,5690800,539100,2322100,27100000,26100000,14200000,47700000,40300000,15400000,32200000,93500000,52800000,22000000,33400000,19700000,22800000,109000000,4614200,23300000,1504300,12200000,2822200
TCCM_0189.00000040,111000000,67300000,43700000,26300000,36400000,46500000,132000000,219000000,203000000,242000000,25300000,5395300,42800000,90900000,24500000,106000000,106000000,101000000,22800000,685560,0,7314600,12900000,7061900,18100000,2592100,1017700,697380,568950,11900000,0,15800000,17100000,25800000,0,6803000,0
TCCM_0002.00000010,18200000,53100000,45700000,51100000,33500000,38500000,18000000,11700000,13000000,23500000,134000000,99000000,89200000,95200000,33500000,52700000,48500000,70400000,99200000,110000000,77500000,140000000,148000000,187000000,124000000,158000000,125000000,48300000,130000000,108000000,93200000,132000000,153000000,118000000,9688300,7143400,0
TCCM_0012.00000020,5748700,8588600,18700000,19900000,21000000,31000000,17300000,7277000,8867700,10400000,32200000,44600000,16600000,26900000,9245300,13600000,12100000,21000000,18700000,25600000,28800000,18400000,25900000,23000000,45900000,21100000,21400000,36100000,33700000,13400000,11500000,19700000,28100000,30400000,20900000,25900000,2840300
TCCM_0091.00000020,24500000,15900000,15500000,15600000,30700000,24600000,25000000,10000000,14000000,14100000,47400000,45900000,34600000,26600000,11500000,18700000,17700000,18300000,65400000,26800000,29000000,49000000,50900000,20700000,32600000,46400000,47700000,32200000,23900000,58900000,44200000,62900000,22100000,29000000,6515500,12300000,1210700
TCCM_0517.00000150,23300000,21800000,26900000,47100000,49600000,47700000,26200000,14900000,19200000,11200000,27400000,23600000,69800000,49800000,60900000,16700000,12100000,21700000,16700000,17000000,12900000,26100000,24500000,26400000,18200000,29100000,27300000,32100000,32200000,24600000,14300000,21600000,20600000,18800000,8334200,17400000,1234700
TCCM_0078.00000260,11300000,6064300,11400000,12400000,25400000,23600000,12500000,6600800,7439000,9600300,25400000,17700000,18600000,17600000,20600000,11500000,10100000,16200000,9844000,19500000,17900000,16000000,15400000,18900000,24100000,15800000,18100000,26100000,19600000,27000000,15200000,16700000,15800000,18900000,10100000,9688700,1914100
TCCM_0018.00000050,6940500,11100000,13000000,14000000,13600000,17100000,9445200,5580900,6807900,6682900,16900000,16200000,10300000,9335900,10600000,11200000,8765400,16100000,21400000,14600000,17800000,24100000,30000000,22200000,28000000,22900000,26800000,19400000,29600000,15500000,16400000,17000000,31600000,23400000,5671200,7660700,0
TCCM_0699.00000090,9805200,12300000,13400000,12800000,23600000,24800000,15200000,4299800,5728200,5832200,20300000,13000000,22800000,14100000,12400000,6190200,7192900,10000000,9850400,11700000,6855000,19600000,19900000,16300000,13400000,16700000,14300000,13900000,17400000,13000000,10300000,11600000,8188500,10100000,7143600,17600000,5122400
TCCM_0310.00000020,4942300,6856200,9591400,8630500,8753900,9832100,7017500,2851400,3806900,3569900,7750600,7939900,8330500,8825500,8439200,4477400,4021500,5683800,4427600,3420100,4333700,5970200,8043100,7033300,5798700,8733000,6712700,6057100,9020100,8078200,3808900,5420000,5718600,5882500,4888400,5444000,0
TCCM_0275.00000010,6240100,14700000,22400000,19100000,26400000,26600000,9196200,4008200,4860700,6150200,22000000,20500000,22500000,25500000,19800000,5675700,6834600,8793700,11300000,12300000,12800000,14800000,25100000,16400000,19700000,21300000,18700000,20100000,22700000,15500000,10800000,15100000,7639700,13900000,14400000,13900000,2513500
TCCM_0692.00000030,7564600,12500000,24000000,24000000,18800000,19800000,18700000,7358100,9194400,7651700,24700000,28500000,28700000,24200000,25000000,12000000,10900000,16600000,22000000,20700000,20900000,31200000,30900000,24400000,32100000,27300000,35600000,25500000,29700000,10900000,19300000,26800000,22100000,13900000,14700000,9052100,3224600
TCCM_0898.00000030,4679300,7628300,11800000,13400000,20800000,17000000,10700000,4975700,5834500,6919800,44800000,39600000,9264800,11900000,11700000,11500000,8050000,15200000,13400000,16900000,20000000,11600000,15500000,31800000,37300000,12100000,11600000,26600000,35200000,7988800,9185400,12800000,26800000,34000000,7754300,12000000,0
TCCM_0245.00000350,35800000,0,0,0,27000000,72100000,24400000,19800000,21600000,26500000,100000000,86100000,70900000,63600000,8138800,57000000,20000000,37200000,44900000,33100000,63200000,99000000,138000000,155000000,182000000,108000000,85000000,105000000,119000000,24000000,58600000,87200000,94400000,90900000,3346000,4278900,391610
TCCM_0240.00000060,17800000,8070000,20200000,11300000,29300000,29200000,11600000,5771000,7035300,6474900,11000000,13500000,18000000,19700000,16600000,8776800,5542200,11700000,12000000,15000000,11200000,17900000,21100000,24300000,14100000,20600000,16300000,13700000,26400000,21400000,7666500,19800000,11800000,7676300,11600000,12600000,377290
TCCM_0780.00000020,1456000,336700,2255000,5307100,12000000,7279600,2574800,1819000,1620200,2257100,23300000,24500000,17300000,13600000,4997500,4757900,7772400,8839700,9946600,15500000,11400000,5394300,6540600,11500000,21300000,11700000,10600000,16300000,23700000,2775800,3345600,8360100,14200000,17400000,1771500,2884900,0
